,Marriage_Date,DOB1,DOB2,divorce,day1,month1,day2,month2,zodiac1,zodiac2
0,2000-01-03,1974-08-20,1980-01-01,0,20,8,1,1,Leo,Capricorn
1,2000-01-05,1980-02-12,1981-12-12,0,12,2,12,12,Aquarius,Sagittarius
2,2000-01-05,1978-11-26,1979-09-04,0,26,11,4,9,Sagittarius,Virgo
3,2000-01-06,1974-10-30,1978-12-04,1,30,10,4,12,Scorpio,Sagittarius
4,2000-01-06,1937-03-13,1956-09-11,0,13,3,11,9,Pisces,Virgo
5,2000-01-07,1974-12-24,1977-01-07,1,24,12,7,1,Capricorn,Capricorn
6,2000-01-07,1976-05-17,1967-04-01,0,17,5,1,4,Taurus,Aries
7,2000-01-07,1981-09-26,1977-12-27,0,26,9,27,12,Libra,Capricorn
8,2000-01-07,1974-12-10,1979-11-09,0,10,12,9,11,Sagittarius,Scorpio
9,2000-01-08,1972-12-29,1972-05-27,0,29,12,27,5,Capricorn,Gemini
10,2000-01-08,1978-06-21,1978-11-13,1,21,6,13,11,Cancer,Scorpio
11,2000-01-08,1971-06-12,1969-08-20,0,12,6,20,8,Gemini,Leo
12,2000-01-08,1962-02-23,1971-08-24,0,23,2,24,8,Pisces,Virgo
13,2000-01-10,1944-08-23,1974-08-22,1,23,8,22,8,Virgo,Leo
14,2000-01-11,1978-09-08,1978-09-09,0,8,9,9,9,Virgo,Virgo
15,2000-01-11,1971-12-18,1969-03-12,0,18,12,12,3,Sagittarius,Pisces
16,2000-01-12,1975-02-18,1976-06-08,0,18,2,8,6,Aquarius,Gemini
17,2000-01-13,1974-12-16,1980-12-09,0,16,12,9,12,Sagittarius,Sagittarius
18,2000-01-14,1973-10-09,1974-02-11,0,9,10,11,2,Libra,Aquarius
19,2000-01-14,1969-02-25,1974-03-19,0,25,2,19,3,Pisces,Pisces
20,2000-01-14,1968-12-08,1976-05-28,0,8,12,28,5,Sagittarius,Gemini
21,2000-01-15,1968-09-03,1970-05-11,0,3,9,11,5,Virgo,Taurus
22,2000-01-15,1972-02-02,1970-08-10,1,2,2,10,8,Aquarius,Leo
23,2000-01-15,1969-09-13,1976-07-25,0,13,9,25,7,Virgo,Leo
24,2000-01-15,1969-11-04,1972-04-28,0,4,11,28,4,Scorpio,Taurus
25,2000-01-15,1971-11-15,1972-12-11,0,15,11,11,12,Scorpio,Sagittarius
26,2000-01-17,1976-09-13,1978-08-28,0,13,9,28,8,Virgo,Virgo
27,2000-01-17,1916-11-30,1939-02-15,0,30,11,15,2,Sagittarius,Aquarius
28,2000-01-17,1970-09-27,1974-09-02,0,27,9,2,9,Libra,Virgo
29,2000-01-17,1941-05-21,1940-04-25,0,21,5,25,4,Gemini,Taurus
30,2000-01-17,1971-09-13,1979-10-04,1,13,9,4,10,Virgo,Libra
31,2000-01-18,1956-05-12,1958-06-15,0,12,5,15,6,Taurus,Gemini
32,2000-01-18,1975-01-28,1975-04-20,0,28,1,20,4,Aquarius,Taurus
33,2000-01-19,1976-04-20,1974-11-09,0,20,4,9,11,Taurus,Scorpio
34,2000-01-19,1972-03-31,1972-09-30,0,31,3,30,9,Aries,Libra
35,2000-01-20,1960-04-23,1967-07-21,0,23,4,21,7,Taurus,Cancer
36,2000-01-20,1978-08-12,1975-04-08,0,12,8,8,4,Leo,Aries
37,2000-01-20,1975-04-29,1974-08-05,0,29,4,5,8,Taurus,Leo
38,2000-01-21,1969-02-26,1974-08-29,0,26,2,29,8,Pisces,Virgo
39,2000-01-21,1965-03-07,1978-01-12,0,7,3,12,1,Pisces,Capricorn
40,2000-01-21,1974-01-13,1973-02-13,0,13,1,13,2,Capricorn,Aquarius
41,2000-01-21,1970-03-18,1971-01-01,0,18,3,1,1,Pisces,Capricorn
42,2000-01-22,1969-05-08,1970-11-26,0,8,5,26,11,Taurus,Sagittarius
43,2000-01-24,1961-11-28,1960-12-05,0,28,11,5,12,Sagittarius,Sagittarius
44,2000-01-24,1971-06-23,1975-01-19,0,23,6,19,1,Cancer,Capricorn
45,2000-01-25,1980-04-25,1974-12-04,0,25,4,4,12,Taurus,Sagittarius
46,2000-01-26,1970-01-31,1970-07-14,0,31,1,14,7,Aquarius,Cancer
47,2000-01-26,1967-04-02,1973-12-15,0,2,4,15,12,Aries,Sagittarius
48,2000-01-27,1972-07-04,1981-02-02,0,4,7,2,2,Cancer,Aquarius
49,2000-01-27,1978-10-18,1983-03-07,0,18,10,7,3,Libra,Pisces
50,2000-01-27,1973-11-28,1976-01-19,0,28,11,19,1,Sagittarius,Capricorn
51,2000-01-27,1977-09-03,1977-07-17,0,3,9,17,7,Virgo,Cancer
52,2000-01-28,1979-04-11,1980-07-09,0,11,4,9,7,Aries,Cancer
53,2000-01-28,1975-12-02,1977-04-18,0,2,12,18,4,Sagittarius,Aries
54,2000-01-28,1981-05-12,1977-12-12,0,12,5,12,12,Taurus,Sagittarius
55,2000-01-28,1970-12-19,1974-01-13,1,19,12,13,1,Sagittarius,Capricorn
56,2000-01-28,1982-01-21,1978-02-01,0,21,1,1,2,Aquarius,Aquarius
57,2000-01-29,1972-08-11,1971-10-12,0,11,8,12,10,Leo,Libra
58,2000-01-29,1972-04-23,1972-10-01,0,23,4,1,10,Taurus,Libra
59,2000-01-29,1971-08-05,1973-03-04,0,5,8,4,3,Leo,Pisces
60,2000-01-29,1971-02-02,1979-02-17,0,2,2,17,2,Aquarius,Aquarius
61,2000-01-31,1968-04-11,1968-10-12,0,11,4,12,10,Aries,Libra
62,2000-01-31,1969-07-08,1969-11-14,0,8,7,14,11,Cancer,Scorpio
